text,label,language
wearing a fake engagement ring so guys won’t approach you at the library &gt;&gt;&gt;&gt;,1.8,English
@user E no sure for any body,1.0,English
"@user lmao, u saying that she should kill herself is cool tho right?",1.6,English
Kash doll and ray snapped on Giovannis way,1.3333333333333333,English
@user was that YOU dancing in ur recent story???!!! 😯,4.0,English
Dm to buy full vids of local coloured mense fucking😍 http,4.4,English
@user And then you change into your NSFW account and like them http,2.6,English
@user 希望全港人勇敢企出嚟，團結一致、驅逐暴力,1.2,Chinese
习一语成谶， 中美贸易战可以掀翻小池塘，却不能掀翻大海。 习近平发迹之地梁家河就是小池塘，汪洋是大海。 2019年的北戴河会议将上演自1989年以来最激烈的政变逼宫！ 新华社乌龙事件反映了中共党内主战派和主和派的激烈斗争！,1.2,Chinese
@nytchinese 文章通篇想表达什么,1.0,Chinese
华为高通龙争虎战：5G基带芯片新秩序 自从与苹果达成和解之后，高通的日子过得可谓顺风顺水。资本市场上，自4月16日发出和解公告后，高通的股价一度达到90.34美元/股，涨幅超57%。业务上，高通也是不... http,1.8,Chinese
@user 最喜歡看什麼,3.4,Chinese
卖片的是不是穷疯了啊？你卖片也可以啊，卖点自己的啊，一堆pro上下载过来。截取20秒，配点自己意淫的文字，我的妈呀，简直不要太棒好吗？不是公务员 就是局长 老总，啧啧，这么有身份在七天 如家 玩呢哦？意淫开心就好。无话可说😶 http,1.6,Chinese
@user 美国都不愿意参加的情况下，日本来了，日本这不是为土共站台吗？精日们，怎么说?,1.2,Chinese
分享一个精彩的 完美的奶，完美的脸，完美的嘴 投@fanqianglu http,3.8,Chinese
若被確認為「國際關注公共衛生緊急事件」， 世衛會發布一系列包括確診、隔離和治療的詳細計畫， 協調各國採取國際應對措施， 並視情況考慮對疫情地區實施旅遊建議。 http,1.0,Chinese
@user 是嗎？ 可能我沒有注意到吧,2.0,Chinese
@user @user 你剃过毛毛吗,3.8,Chinese
@user 她没说是捐吧？,1.8,Chinese
通报来了 真的要消停一会了 视频不要私信要啦 就当2w粉的福利提前放出来吧 有风险勿模仿 感谢师傅的协助 http,1.6,Chinese
